Rank,Player
1,Christian McCaffrey
2,Tyreek Hill
3,CeeDee Lamb
4,Justin Jefferson
5,Ja'Marr Chase
6,Bijan Robinson
7,Amon-Ra St. Brown
8,Breece Hall
9,A.J. Brown
10,Garrett Wilson
11,Saquon Barkley
12,Jahmyr Gibbs
13,Jonathan Taylor
14,Marvin Harrison
15,Kyren Williams
16,Puka Nacua
17,Davante Adams
18,Travis Etienne
19,Drake London
20,Derrick Henry
21,Travis Kelce
22,Josh Allen
23,Chris Olave
24,Sam LaPorta
25,De'Von Achane
26,Brandon Aiyuk
27,Josh Jacobs
28,Isiah Pacheco
29,Mike Evans
30,Patrick Mahomes
31,Nico Collins
32,Stefon Diggs
33,Deebo Samuel
34,Lamar Jackson
35,Jalen Hurts
36,Jaylen Waddle
37,DJ Moore
38,Rachaad White
39,Cooper Kupp
40,Michael Pittman
41,James Cook
42,C.J. Stroud
43,DK Metcalf
44,Malik Nabers
45,Mark Andrews
46,Trey McBride
47,Joe Mixon
48,Alvin Kamara
49,DeVonta Smith
50,Kenneth Walker
51,Dalton Kincaid
52,Zay Flowers
53,George Kittle
54,Tank Dell
55,Kyle Pitts
56,Anthony Richardson
57,George Pickens
58,Aaron Jones
59,Amari Cooper
60,Tee Higgins
61,Joe Burrow
62,D'Andre Swift
63,James Conner
64,Keenan Allen
65,David Montgomery
66,Christian Kirk
67,Evan Engram
68,Terry McLaurin
69,Rhamondre Stevenson
70,Rashee Rice
71,Dak Prescott
72,Rome Odunze
73,Najee Harris
74,Jayden Reed
75,Chris Godwin
76,Xavier Worthy
77,Tony Pollard
78,Kyler Murray
79,Brock Bowers
80,Jordan Love
81,Raheem Mostert
82,Zamir White
83,Calvin Ridley
84,David Njoku
85,Jordan Addison
86,Jake Ferguson
87,Nick Chubb
88,Ladd McConkey
89,Hollywood Brown
90,Brock Purdy
91,Javonte Williams
92,Zack Moss
93,Austin Ekeler
94,Keon Coleman
95,Diontae Johnson
96,DeAndre Hopkins
97,Jonathon Brooks
98,Jaylen Warren
99,Devin Singletary
100,Jaxon Smith-Njigba
101,Caleb Williams
102,Dallas Goedert
103,Christian Watson
104,Tua Tagovailoa
105,Brian Thomas
106,Dalton Schultz
107,Tyjae Spears
108,Brian Robinson
109,Jared Goff
110,T.J. Hockenson
111,Jameson Williams
112,Trey Benson
113,Gus Edwards
114,Ezekiel Elliott
115,Jayden Daniels
116,Courtland Sutton
117,Curtis Samuel
118,Chase Brown
119,Romeo Doubs
120,Blake Corum
121,Cole Kmet
122,Jerome Ford
123,Tyler Lockett
124,Justin Herbert
125,Trevor Lawrence
126,Pat Freiermuth
127,Khalil Shakir
128,Adonai Mitchell
129,Jakobi Meyers
130,Aaron Rodgers
131,Jerry Jeudy
132,Zach Charbonnet
133,Joshua Palmer
134,Xavier Legette
135,Chuba Hubbard
136,Luke Musgrave
137,J.K. Dobbins
138,Mike Williams
139,Kirk Cousins
140,Rico Dowdle
141,Matthew Stafford
142,Jaylen Wright
143,Gabe Davis
144,Rashid Shaheed
145,Ja'Lynn Polk
146,Baker Mayfield
147,Ty Chandler
148,Tyler Allgeier
149,Ben Sinnott
150,Brandin Cooks
151,Adam Thielen
152,Josh Downs
153,Cade Otton
154,Dontayvion Wicks
155,Isaiah Likely
156,Deshaun Watson
157,Taysom Hill
158,Ricky Pearsall
159,Antonio Gibson
160,Kendre Miller
161,Jahan Dotson
162,Hunter Henry
163,Jaleel McLaughlin
164,Troy Franklin
165,MarShawn Lloyd
166,Darnell Mooney
167,Tyler Conklin
168,Kimani Vidal
169,Quentin Johnston
170,DeMario Douglas
171,Ray Davis
172,Braelon Allen
173,Tyrone Tracy
174,Elijah Mitchell
175,Roman Wilson
176,Will Levis
177,Bo Nix
178,Bucky Irving
179,Justin Fields
180,Jermaine Burton
181,Geno Smith
182,Rashod Bateman
183,Dameon Pierce
184,Chigoziem Okonkwo
185,Luke McCaffrey
186,Khalil Herbert
187,Michael Wilson
188,Noah Fant
189,Mike Gesicki
190,Wan'Dale Robinson
191,J.J. McCarthy
192,Ja'Tavion Sanders
193,Drake Maye
194,Malachi Corley
195,Clyde Edwards-Helaire
196,Bryce Young
197,Marvin Mims
198,Audric Estime
199,Javon Baker
200,Roschon Johnson
201,Jonnu Smith
202,Alexander Mattison
203,Sam Darnold
204,Justice Hill
205,Jalen McMillan
206,Tyler Boyd
207,AJ Dillon
208,Theo Johnson
209,Demarcus Robinson
210,Tank Bigsby
211,Will Shipley
212,Greg Dortch
213,Jalen Tolbert
214,Russell Wilson
215,Dawson Knox
216,Odell Beckham
217,Derek Carr
218,Colby Parkinson
219,Keaton Mitchell
220,DJ Chark
221,Daniel Jones
222,Greg Dulcich
223,Zach Ertz
224,Gardner Minshew
225,Dylan Laube
